0,election,incumbenteffect,first_other,lab,con,libdem,winprob_other,winprob_lab,winprob_con,winprob_libdem
286,greatermanchester2021,13.5,4.91124646,59.9717208,16.95945467,3.511772422,0.02,0.97,0.01,0
287,greatermanchester2021,13.6,4.888720389,60.12477305,16.90252348,3.50283469,0.02,0.97,0.01,0
288,greatermanchester2021,13.7,4.877868229,60.16112545,16.79465211,3.471816012,0.02,0.97,0.01,0
289,greatermanchester2021,13.8,4.853384184,60.25311582,16.63589057,3.422173366,0.02,0.97,0.01,0
290,greatermanchester2021,13.9,4.829002326,60.40487465,16.51082849,3.410452051,0.02,0.97,0.01,0
291,greatermanchester2021,14,4.789761528,60.42773723,16.34901328,3.351660713,0.02,0.97,0.01,0
292,greatermanchester2021,14.1,4.796190302,60.54198233,16.27466614,3.344045641,0.02,0.97,0.01,0
293,greatermanchester2021,14.2,4.75431507,60.69751268,16.1760426,3.319746145,0.02,0.98,0.01,0
294,greatermanchester2021,14.3,4.764386414,60.76354448,16.06959825,3.308254781,0.02,0.98,0.01,0
295,greatermanchester2021,14.4,4.735944315,60.85442524,15.9366652,3.275394708,0.02,0.98,0.01,0
296,greatermanchester2021,14.5,4.701935824,60.90371341,15.94264008,3.280762582,0.02,0.98,0.01,0
297,greatermanchester2021,14.6,4.677328268,61.15192277,15.68762288,3.220898428,0.02,0.98,0.01,0
298,greatermanchester2021,14.7,4.723133433,61.00896848,15.63513416,3.21865756,0.02,0.98,0.01,0
299,greatermanchester2021,14.8,4.6700301,61.20936495,15.35820362,3.120614115,0.02,0.98,0.01,0
300,greatermanchester2021,14.9,4.619219676,61.36942718,15.28396314,3.106402067,0.02,0.98,0.01,0
301,liverpool2021,0,14.2448562,63.66608742,18.03753421,4.051522166,0.05,0.94,0.01,0
302,liverpool2021,0.1,14.22173623,63.74663457,17.99671199,4.0346079,0.05,0.94,0,0
303,liverpool2021,0.2,14.26221921,63.81505811,17.90159369,4.019888066,0.05,0.94,0.01,0
304,liverpool2021,0.3,14.18209335,63.94431722,17.85011571,4.020667086,0.05,0.94,0.01,0
305,liverpool2021,0.4,14.10314593,64.04074312,17.86134499,3.98976926,0.05,0.95,0.01,0
306,liverpool2021,0.5,14.14816836,64.11922938,17.73219457,3.992563957,0.05,0.94,0.01,0
307,liverpool2021,0.6,14.09953814,64.23009273,17.68418834,3.974850385,0.05,0.95,0,0
308,liverpool2021,0.7,14.03342885,64.33301663,17.64842909,3.969656242,0.05,0.95,0,0
309,liverpool2021,0.8,14.01423255,64.4475803,17.57800402,3.939891666,0.05,0.95,0,0
310,liverpool2021,0.9,14.02451272,64.48081988,17.53644307,3.932505543,0.05,0.95,0,0
311,liverpool2021,1,13.94172357,64.60144828,17.49694008,3.927988432,0.05,0.95,0,0
312,liverpool2021,1.1,13.85381042,64.75024592,17.4627162,3.894431573,0.05,0.95,0,0
313,liverpool2021,1.2,13.83652356,64.84808024,17.36231567,3.906754334,0.05,0.95,0,0
314,liverpool2021,1.3,13.89343537,64.91390017,17.26508058,3.873041007,0.05,0.95,0,0
315,liverpool2021,1.4,13.75015946,65.06086788,17.26264532,3.862836999,0.05,0.95,0,0
316,liverpool2021,1.5,13.79460945,65.08888045,17.19833121,3.845085479,0.05,0.95,0,0
317,liverpool2021,1.6,13.75855806,65.18774902,17.13079214,3.839399812,0.05,0.95,0,0
318,liverpool2021,1.7,13.69287084,65.31916408,17.06298097,3.830311004,0.05,0.95,0,0
319,liverpool2021,1.8,13.64131216,65.4393547,16.99718363,3.815621606,0.05,0.95,0,0
320,liverpool2021,1.9,13.5995938,65.47716458,17.0092356,3.795160262,0.05,0.95,0,0
321,liverpool2021,2,13.59930568,65.59362929,16.87289949,3.801834809,0.05,0.95,0,0
322,liverpool2021,2.1,13.51526665,65.71662677,16.84125634,3.780370354,0.05,0.95,0,0
323,liverpool2021,2.2,13.52806092,65.77341318,16.78716024,3.750066376,0.05,0.95,0,0
324,liverpool2021,2.3,13.4623184,65.90059058,16.72785756,3.731832621,0.05,0.95,0,0
